"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (1,000 TO 2,499 $)","793,131,000","7.1"
"CENSUS","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (1,000,000 OR MORE $)","5,885,911,000","3.6"
"CENSUS","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (10,000 TO 24,999 $)","1,586,295,000","3.4"
"CENSUS","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (100,000 TO 249,999 $)","2,452,723,000","5.9"
"CENSUS","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (2,500 TO 4,999 $)","819,474,000","5.0"
"CENSUS","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (25,000 TO 49,999 $)","1,403,413,000","4.1"
"CENSUS","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (250,000 TO 499,999 $)","2,413,185,000","5.1"
"CENSUS","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (5,000 TO 9,999 $)","1,007,161,000","3.6"
"CENSUS","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (50,000 TO 99,999 $)","1,541,338,000","10.8"
"CENSUS","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (500,000 TO 999,999 $)","2,825,199,000","3.8"
"CENSUS","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (LESS THAN 1,000 $)","1,529,720,000","5.2"
"CENSUS","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (1,000 TO 2,499 $)","692,621,000","6.2"
"CENSUS","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (1,000,000 OR MORE $)","3,462,395,000","3.3"
"CENSUS","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (10,000 TO 24,999 $)","1,505,854,000","3.1"
"CENSUS","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (100,000 TO 249,999 $)","1,863,681,000","2.8"
"CENSUS","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (2,500 TO 4,999 $)","787,915,000","6.5"
"CENSUS","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (25,000 TO 49,999 $)","1,203,600,000","2.1"
"CENSUS","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (250,000 TO 499,999 $)","1,812,713,000","2.5"
"CENSUS","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (5,000 TO 9,999 $)","968,126,000","3.4"
"CENSUS","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (50,000 TO 99,999 $)","1,249,216,000","7.6"
"CENSUS","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (500,000 TO 999,999 $)","1,985,471,000","5.2"
"CENSUS","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (LESS THAN 1,000 $)","1,316,233,000","6.6"
"CENSUS","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (1,000 TO 2,499 $)","656,343,000","3.1"
"CENSUS","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (1,000,000 OR MORE $)","4,624,711,000","5.8"
"CENSUS","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (10,000 TO 24,999 $)","1,146,126,000","3.3"
"CENSUS","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (100,000 TO 249,999 $)","2,177,552,000","3.3"
"CENSUS","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (2,500 TO 4,999 $)","673,045,000","1.8"
"CENSUS","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (25,000 TO 49,999 $)","989,165,000","3.6"
"CENSUS","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (250,000 TO 499,999 $)","2,392,216,000","3.0"
"CENSUS","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (5,000 TO 9,999 $)","810,630,000","1.6"
